Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
3942,2247,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,52.065873,More,http://dx.doi.org/10.3109/08958378.2011.614968
3943,2247,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF neutrophils,73.336035,More,http://dx.doi.org/10.3109/08958378.2011.614968
3944,2247,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF neutrophils,9.760107,More,http://dx.doi.org/10.3109/08958378.2011.614968
3945,2248,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3946,2248,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,45.259593,More,http://dx.doi.org/10.3109/08958378.2011.614968
3947,2248,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF neutrophils,75.071441,More,http://dx.doi.org/10.3109/08958378.2011.614968
3948,2248,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF neutrophils,6.652726,More,http://dx.doi.org/10.3109/08958378.2011.614968
3949,2249,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3950,2249,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,10.504865,More,http://dx.doi.org/10.3109/08958378.2011.614968
3951,2249,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF neutrophils,49.881489,More,http://dx.doi.org/10.3109/08958378.2011.614968
3952,2249,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF neutrophils,6.15586,More,http://dx.doi.org/10.3109/08958378.2011.614968
3953,2250,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3954,2250,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,2.847074,More,http://dx.doi.org/10.3109/08958378.2011.614968
3955,2250,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF neutrophils,51.98387,More,http://dx.doi.org/10.3109/08958378.2011.614968
3956,2250,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF neutrophils,18.947402,More,http://dx.doi.org/10.3109/08958378.2011.614968
3957,2251,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3958,2251,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF neutrophils,8.409429,More,http://dx.doi.org/10.3109/08958378.2011.614968
3959,2251,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,29.76979,More,http://dx.doi.org/10.3109/08958378.2011.614968
3960,2251,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF neutrophils,46.262142,More,http://dx.doi.org/10.3109/08958378.2011.614968
3961,2252,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3962,2252,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF neutrophils,1.780829,More,http://dx.doi.org/10.3109/08958378.2011.614968
3963,2252,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,18.354426,More,http://dx.doi.org/10.3109/08958378.2011.614968
3964,2252,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF neutrophils,23.585536,More,http://dx.doi.org/10.3109/08958378.2011.614968
3965,2253,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3966,2253,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF neutrophils,0.595888,More,http://dx.doi.org/10.3109/08958378.2011.614968
3967,2253,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,13.018769,More,http://dx.doi.org/10.3109/08958378.2011.614968
3968,2253,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF neutrophils,48.042,More,http://dx.doi.org/10.3109/08958378.2011.614968
3969,2254,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3970,2254,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF neutrophils,8.357555,More,http://dx.doi.org/10.3109/08958378.2011.614968
3971,2254,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,10.282122,More,http://dx.doi.org/10.3109/08958378.2011.614968
3972,2254,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF neutrophils,50.125777,More,http://dx.doi.org/10.3109/08958378.2011.614968
3973,2255,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF neutrophils,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3974,2255,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF neutrophils,0.034012,More,http://dx.doi.org/10.3109/08958378.2011.614968
3975,2255,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF neutrophils,5.453569,More,http://dx.doi.org/10.3109/08958378.2011.614968
3976,2255,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF neutrophils,27.193669,More,http://dx.doi.org/10.3109/08958378.2011.614968
3977,2256,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3978,2256,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.305336,More,http://dx.doi.org/10.3109/08958378.2011.614968
3979,2256,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF macrophages,0.347974,More,http://dx.doi.org/10.3109/08958378.2011.614968
3980,2256,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF macrophages,0.079549,More,http://dx.doi.org/10.3109/08958378.2011.614968
3981,2257,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3982,2257,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.028725,More,http://dx.doi.org/10.3109/08958378.2011.614968
3983,2257,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF macrophages,0.175262,More,http://dx.doi.org/10.3109/08958378.2011.614968
3984,2257,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF macrophages,0.134836,More,http://dx.doi.org/10.3109/08958378.2011.614968
3985,2258,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3986,2258,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.880218,More,http://dx.doi.org/10.3109/08958378.2011.614968
3987,2258,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF macrophages,1.477283,More,http://dx.doi.org/10.3109/08958378.2011.614968
3988,2258,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF macrophages,0.44104,More,http://dx.doi.org/10.3109/08958378.2011.614968
3989,2259,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3990,2259,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.050024,More,http://dx.doi.org/10.3109/08958378.2011.614968
3991,2259,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF macrophages,0.877165,More,http://dx.doi.org/10.3109/08958378.2011.614968
3992,2259,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF macrophages,0.273313,More,http://dx.doi.org/10.3109/08958378.2011.614968
3993,2260,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3994,2260,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.506709,More,http://dx.doi.org/10.3109/08958378.2011.614968
3995,2260,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF macrophages,1.004558,More,http://dx.doi.org/10.3109/08958378.2011.614968
3996,2260,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF macrophages,0.146342,More,http://dx.doi.org/10.3109/08958378.2011.614968
3997,2261,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
3998,2261,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF macrophages,0.114978,More,http://dx.doi.org/10.3109/08958378.2011.614968
3999,2261,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.553114,More,http://dx.doi.org/10.3109/08958378.2011.614968
4000,2261,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF macrophages,0.938371,More,http://dx.doi.org/10.3109/08958378.2011.614968
4001,2262,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4002,2262,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF macrophages,0.019347,More,http://dx.doi.org/10.3109/08958378.2011.614968
4003,2262,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.706573,More,http://dx.doi.org/10.3109/08958378.2011.614968
4004,2262,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF macrophages,0.64135,More,http://dx.doi.org/10.3109/08958378.2011.614968
4005,2263,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4006,2263,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF macrophages,0.140224,More,http://dx.doi.org/10.3109/08958378.2011.614968
4007,2263,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.089316,More,http://dx.doi.org/10.3109/08958378.2011.614968
4008,2263,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF macrophages,0.879239,More,http://dx.doi.org/10.3109/08958378.2011.614968
4009,2264,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4010,2264,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF macrophages,0.18485,More,http://dx.doi.org/10.3109/08958378.2011.614968
4011,2264,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.022116,More,http://dx.doi.org/10.3109/08958378.2011.614968
4012,2264,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF macrophages,0.439067,More,http://dx.doi.org/10.3109/08958378.2011.614968
4013,2265,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF macrophages,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4014,2265,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF macrophages,0.006511,More,http://dx.doi.org/10.3109/08958378.2011.614968
4015,2265,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF macrophages,0.197287,More,http://dx.doi.org/10.3109/08958378.2011.614968
4016,2265,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF macrophages,0.599392,More,http://dx.doi.org/10.3109/08958378.2011.614968
4017,2266,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4018,2266,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,2.889155,More,http://dx.doi.org/10.3109/08958378.2011.614968
4019,2266,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF lymphocytes,1.209307,More,http://dx.doi.org/10.3109/08958378.2011.614968
4020,2266,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF lymphocytes,1.389188,More,http://dx.doi.org/10.3109/08958378.2011.614968
4021,2267,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4022,2267,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,2.439349,More,http://dx.doi.org/10.3109/08958378.2011.614968
4023,2267,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF lymphocytes,3.646999,More,http://dx.doi.org/10.3109/08958378.2011.614968
4024,2267,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF lymphocytes,1.520598,More,http://dx.doi.org/10.3109/08958378.2011.614968
4025,2268,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4026,2268,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,3.683147,More,http://dx.doi.org/10.3109/08958378.2011.614968
4027,2268,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF lymphocytes,7.910528,More,http://dx.doi.org/10.3109/08958378.2011.614968
4028,2268,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF lymphocytes,0.747508,More,http://dx.doi.org/10.3109/08958378.2011.614968
4029,2269,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4030,2269,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,1.758619,More,http://dx.doi.org/10.3109/08958378.2011.614968
4031,2269,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF lymphocytes,8.152069,More,http://dx.doi.org/10.3109/08958378.2011.614968
4032,2269,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF lymphocytes,1.124159,More,http://dx.doi.org/10.3109/08958378.2011.614968
4033,2270,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4034,2270,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,0.855669,More,http://dx.doi.org/10.3109/08958378.2011.614968
4035,2270,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF lymphocytes,5.332968,More,http://dx.doi.org/10.3109/08958378.2011.614968
4036,2270,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF lymphocytes,3.838969,More,http://dx.doi.org/10.3109/08958378.2011.614968
4037,2271,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4038,2271,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF lymphocytes,0.494124,More,http://dx.doi.org/10.3109/08958378.2011.614968
4039,2271,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,1.784618,More,http://dx.doi.org/10.3109/08958378.2011.614968
4040,2271,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF lymphocytes,4.817917,More,http://dx.doi.org/10.3109/08958378.2011.614968
4041,2272,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4042,2272,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF lymphocytes,0.323438,More,http://dx.doi.org/10.3109/08958378.2011.614968
4043,2272,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,3.94486,More,http://dx.doi.org/10.3109/08958378.2011.614968
4044,2272,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF lymphocytes,5.224537,More,http://dx.doi.org/10.3109/08958378.2011.614968
4045,2273,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4046,2273,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF lymphocytes,0.280339,More,http://dx.doi.org/10.3109/08958378.2011.614968
4047,2273,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,1.317166,More,http://dx.doi.org/10.3109/08958378.2011.614968
4048,2273,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF lymphocytes,3.808073,More,http://dx.doi.org/10.3109/08958378.2011.614968
4049,2274,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4050,2274,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF lymphocytes,0.327,More,http://dx.doi.org/10.3109/08958378.2011.614968
4051,2274,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,1.096054,More,http://dx.doi.org/10.3109/08958378.2011.614968
4052,2274,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF lymphocytes,3.926504,More,http://dx.doi.org/10.3109/08958378.2011.614968
4053,2275,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF lymphocytes,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4054,2275,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF lymphocytes,0.880505,More,http://dx.doi.org/10.3109/08958378.2011.614968
4055,2275,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF lymphocytes,1.703888,More,http://dx.doi.org/10.3109/08958378.2011.614968
4056,2275,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF lymphocytes,6.885181,More,http://dx.doi.org/10.3109/08958378.2011.614968
4057,2276,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4058,2276,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,82.784,More,http://dx.doi.org/10.3109/08958378.2011.614968
4059,2276,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF eosinophils ,26.847,More,http://dx.doi.org/10.3109/08958378.2011.614968
4060,2276,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF eosinophils ,33.423,More,http://dx.doi.org/10.3109/08958378.2011.614968
4061,2277,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4062,2277,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,15.082075,More,http://dx.doi.org/10.3109/08958378.2011.614968
4063,2277,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF eosinophils ,11.933355,More,http://dx.doi.org/10.3109/08958378.2011.614968
4064,2277,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF eosinophils ,0.966842,More,http://dx.doi.org/10.3109/08958378.2011.614968
4065,2278,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4066,2278,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,16.890079,More,http://dx.doi.org/10.3109/08958378.2011.614968
4067,2278,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF eosinophils ,22.043405,More,http://dx.doi.org/10.3109/08958378.2011.614968
4068,2278,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF eosinophils ,5.563698,More,http://dx.doi.org/10.3109/08958378.2011.614968
4069,2279,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4070,2279,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,0.854193,More,http://dx.doi.org/10.3109/08958378.2011.614968
4071,2279,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF eosinophils ,7.652307,More,http://dx.doi.org/10.3109/08958378.2011.614968
4072,2279,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF eosinophils ,1.433597,More,http://dx.doi.org/10.3109/08958378.2011.614968
4073,2280,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4074,2280,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,1.645642,More,http://dx.doi.org/10.3109/08958378.2011.614968
4075,2280,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF eosinophils ,85.667981,More,http://dx.doi.org/10.3109/08958378.2011.614968
4076,2280,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF eosinophils ,18.016645,More,http://dx.doi.org/10.3109/08958378.2011.614968
4077,2281,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4078,2281,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF eosinophils ,1.623742,More,http://dx.doi.org/10.3109/08958378.2011.614968
4079,2281,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,48.115694,More,http://dx.doi.org/10.3109/08958378.2011.614968
4080,2281,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF eosinophils ,24.923038,More,http://dx.doi.org/10.3109/08958378.2011.614968
4081,2282,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4082,2282,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF eosinophils ,1.528,More,http://dx.doi.org/10.3109/08958378.2011.614968
4083,2282,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,64.152,More,http://dx.doi.org/10.3109/08958378.2011.614968
4084,2282,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF eosinophils ,36.457,More,http://dx.doi.org/10.3109/08958378.2011.614968
4085,2283,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4086,2283,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF eosinophils ,0.21875,More,http://dx.doi.org/10.3109/08958378.2011.614968
4087,2283,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,0.404381,More,http://dx.doi.org/10.3109/08958378.2011.614968
4088,2283,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF eosinophils ,4.16414,More,http://dx.doi.org/10.3109/08958378.2011.614968
4089,2284,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4090,2284,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF eosinophils ,0.306486,More,http://dx.doi.org/10.3109/08958378.2011.614968
4091,2284,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,0.561156,More,http://dx.doi.org/10.3109/08958378.2011.614968
4092,2284,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF eosinophils ,4.938139,More,http://dx.doi.org/10.3109/08958378.2011.614968
4093,2285,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF eosinophils ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4094,2285,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF eosinophils ,0.177282,More,http://dx.doi.org/10.3109/08958378.2011.614968
4095,2285,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF eosinophils ,0.553578,More,http://dx.doi.org/10.3109/08958378.2011.614968
4096,2285,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF eosinophils ,10.231896,More,http://dx.doi.org/10.3109/08958378.2011.614968
4493,2286,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4494,2286,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,5.095265,More,http://dx.doi.org/10.3109/08958378.2011.614968
4495,2286,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF LDH value ,3.391738,More,http://dx.doi.org/10.3109/08958378.2011.614968
4496,2286,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF LDH value ,2.543374,More,http://dx.doi.org/10.3109/08958378.2011.614968
4497,2287,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4498,2287,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,2.289928,More,http://dx.doi.org/10.3109/08958378.2011.614968
4499,2287,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF LDH value ,6.943326,More,http://dx.doi.org/10.3109/08958378.2011.614968
4500,2287,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF LDH value ,1.219904,More,http://dx.doi.org/10.3109/08958378.2011.614968
4501,2288,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4502,2288,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,2.070382,More,http://dx.doi.org/10.3109/08958378.2011.614968
4503,2288,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF LDH value ,7.50932,More,http://dx.doi.org/10.3109/08958378.2011.614968
4504,2288,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF LDH value ,0.574659,More,http://dx.doi.org/10.3109/08958378.2011.614968
4505,2289,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4506,2289,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,1.318397,More,http://dx.doi.org/10.3109/08958378.2011.614968
4507,2289,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF LDH value ,7.774016,More,http://dx.doi.org/10.3109/08958378.2011.614968
4508,2289,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF LDH value ,0.966593,More,http://dx.doi.org/10.3109/08958378.2011.614968
4509,2290,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4510,2290,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,0.38474,More,http://dx.doi.org/10.3109/08958378.2011.614968
4511,2290,Dispersive,Carbon Nanotubes,2,mg/kg,Rat,BALF LDH value ,8.801254,More,http://dx.doi.org/10.3109/08958378.2011.614968
4512,2290,Dispersive,Carbon Nanotubes,5,mg/kg,Rat,BALF LDH value ,3.644789,More,http://dx.doi.org/10.3109/08958378.2011.614968
4513,2291,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4514,2291,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF LDH value ,0.296324,More,http://dx.doi.org/10.3109/08958378.2011.614968
4515,2291,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,2.624464,More,http://dx.doi.org/10.3109/08958378.2011.614968
4516,2291,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF LDH value ,5.239507,More,http://dx.doi.org/10.3109/08958378.2011.614968
4517,2292,Dispersive,Carbon Nanotubes,0,mg/kg,Rat,BALF LDH value ,0,More,http://dx.doi.org/10.3109/08958378.2011.614968
4518,2292,Dispersive,Carbon Nanotubes,0.04,mg/kg,Rat,BALF LDH value ,0.084204,More,http://dx.doi.org/10.3109/08958378.2011.614968
4519,2292,Dispersive,Carbon Nanotubes,0.2,mg/kg,Rat,BALF LDH value ,2.624753,More,http://dx.doi.org/10.3109/08958378.2011.614968
4520,2292,Dispersive,Carbon Nanotubes,1,mg/kg,Rat,BALF LDH value ,7.45829,More,http://dx.doi.org/10.3109/08958378.2011.614968
